Date,Bankers Counter,Bankers Percent,All matches counter,All matches percent
2021-05-19,19,78.900001525879,108,65.69999694824219
2021-05-21,5,80,43,62.79999923706055
2021-05-23,18,60,161,60.099998474121094
2021-05-22,19,65.199996948242,141,59.20000076293945
2021-05-24,5,100,47,59.849998474121094
2021-05-25,3,66.666603088379,26,53.84619903564453
2021-05-26,2,100,59,55.93220138549805
2021-05-27,4,75,21,38.09519958496094
2021-05-28,1,100,27,62.9630012512207
2021-05-29,13,84.61540222168,99,57.575801849365234
2021-05-30,3,33.333301544189,103,62.13589859008789
2021-06-02,1,100,20,65
2021-06-05,6,100,74,54.054100036621094
2021-06-06,3,33.333301544189,38,65.78949737548828
2021-06-12,7,71.428596496582,97,62.886600494384766
2021-06-13,9,66.666702270508,103,63.1068000793457
2021-06-14,5,40,30,43.33330154418945
2021-06-15,1,100,38,60.52629852294922
2021-06-16,3,66.666603088379,52,67.30770111083984
2021-06-17,3,66.666603088379,38,71.05259704589844
2021-06-18,4,75,48,70.83329772949219
2021-06-19,8,75,78,60.25640106201172
2021-06-20,3,66.666702270508,92,63.04349899291992
2021-06-21,4,75,28,71.42859649658203
2021-06-22,4,75,37,67.56759643554688
2021-06-23,3,66.666702270508,62,64.51609802246094
2021-06-24,2,50,39,46.15380096435547
2021-06-25,1,100,26,53.84619903564453
2021-06-26,7,85.714302062988,72,63.88890075683594
2021-06-27,9,55.555599212646,115,58.26089859008789
2021-06-28,3,66.666000366211,46,52.17390060424805
2021-06-30,5,60,51,56.862701416015625
2021-07-01,4,100,42,59.523799896240234
2021-07-02,2,50,40,47.5
2021-07-03,4,50,84,65.4761962890625
2021-07-04,6,66.666702270508,101,60.395999908447266
2021-07-05,3,33.333301544189,37,67.56759643554688
2021-07-07,0,0,32,53.125
2021-07-08,2,50,32,59.375
2021-07-09,2,100,26,61.53850173950195
2021-07-10,4,50,70,54.285701751708984
2021-07-11,5,60,85,61.17649841308594
2021-07-12,2,50,30,53.33330154418945
2021-07-13,0,0,23,65.21739959716797
2021-07-15,2,0,31,74.193603515625
2021-07-16,1,100,30,60
2021-07-17,11,72.72730255127,124,58.06449890136719
2021-07-18,3,66.666603088379,102,66.66670227050781
2021-07-19,2,100,37,62.162200927734375
2021-07-21,3,100,51,76.47059631347656
2021-07-22,1,0,23,56.52170181274414
2021-07-23,7,71.428596496582,70,64.28569793701172
2021-07-24,3,33.333301544189,65,63.076900482177734
2021-07-25,6,83.333297729492,111,64.86489868164062
2021-07-26,0,0,32,56.25
2021-07-27,3,66.666702270508,46,65.21739959716797
2021-07-28,4,75,66,69.6969985961914
2021-07-30,2,100,83,66.26509857177734
2021-07-31,0,0,151,57.61589813232422
